content	score	business	avgstars
This place is great as a last minute stop before heading back to your room to get ready to go out. Wish they were open later because I would love it as an after club snack but either way worth it. You get to design and create your own pizza with any and all toppings for $12. Yes a little pricey in my opinion but your in Vegas. They have awesome quotes all over the walls and are located underground at the MGM. Unfortunately not much of a view but nicely hidden off the beaten path	4	Project Pie - MGM	4.5
Only 3 stars because the quality is only ok but.... what more could you ask for. It's a buffet! They haves tons of options. The sushi isn't bad. They have unlimited beer wine and champagne. The prime rib was fabulous. The crab legs were dry and the dessert was lacking in my opinion. I would have killed for a warm brownie. But over all a good choice and yummy. Great when you can't decide what you want.	3	Bayside Buffet at Mandalay Bay	3
I've been to various Habit's in LA & Orange Counties and even in Las Vegas.  Each time we have enjoyed the food and service.  The burgers are great as are there salads.  I enjoy going there even more then I do the In & Out burgers.	5	The Habit Burger Grill	4
Used to spend about $1500.00 a month here when it first opened but like all businesses downtown they tried something new, and changed the menu. They quality is steadily declining. Seems that people who are friends of employees get their food faster, the person who got special treatment and I know each other. The shrimp dish they added to the menu tastes like crap. Last time I'll be here. Bye Felicia	1	Carson Kitchen	4.5
Came in twice, wasn't impressed both times, poutine is not authentic had some pizza chimichanga things I came in once at 4pm and at 10:00pm same results. I tried!	1	Naked City Pizza Shop	4
This place is awesome the bartender Brian is very attentive, you know you're in good hands when your bartender never leaves your drink empty. The nachos are amazing, jalapeño burger is awesome. Saturday nights are karaoke night pretty fun	5	Brentwood Cafe & Tavern	3.5
Completely and utterly awful.  The service sucked, the food choice completely lame, and the shot glasses were a 1\/2 shot.  The seating is cramped. Don't bother with this hole in the wall.	1	Home Team Sports	2
Ok seriously, I rarely ever post reviews. But if they mess up your order for a pickup. Then you call and drive to get a new one and that bowl is still not good. That's bad, I'm upset because I used to love coming here. The first spicy chicken bowl I received when I got home the chicken was dry, burnt sauce not good at all. I call and tell them about this and the guy on the phone just laughs and says "I'm sorry, I can give you a coupon for a 20% discount for next time." Ummmm no. I'm hungry now.. So I told him I would come in with the bowl and show them so they can replace it. I get their frustrated already the cashier wasn't very nice and had resting bitch face. Whatever. I get home and same crap. If I'm going to pay  $10 for a spicy chicken bowl come on dude. It should be pretty decent. I could've got a better one from jack in the box for half the price.. Never again. They need to get their shit together and hire better cashiers with good customer service. Same with the cooks.	1	Teriyaki Madness	4
Fail!!! Don't not go here endless you like crappy Chinese food. Huge portions but not tasty at all. I ordered the teriyaki chicken lunch special. Which I asked for white meat chicken which was $1 extra charge.. Nasty and messy the chicken looked weird and uncooked. I will not be back. Waste of money.	1	Golden China	3.5
This place is gem. A little ways from the Las Vegas strip, but worth the short drive. We opted for the Hibachi grill. The food was excellent. Our chef, Will, made the entire experience even more enjoyable and humorous. Not going over the top and corny like other teppan chefs. I definitely recommend this place and will return the next time we're in the Las Vegas area.	5	Jjanga Steak & Sushi	4.5
There are not too many places that I can say I am greeted authentically every time I walk in the door - this is one of those places.  I come once a week minimum, and I drive a little out of the way to get here.  Often, I sit with my son and quietly enjoy a game of Sorry, one of the many board games they provide.  On other days I relax at one of the many places to sit and read one of the gently used books that fill the cafe's shelves.  I come for the lack of pretense and I come for the coffee.  There is disparate art on the walls and your concern, comfort, and happiness is top priority right when you walk in.	4	Grouchy John's Coffee	4.5
"It has finally happened - I've been moved to write my first review!  I've always known this buffet to be the most friendly buffet for my vegetarian ways, but today it was elevated to a new level. I asked my server about a particular item on the buffet and before I knew it I was being guided on a personal vegetarian tour of the buffet by a chef.  He walked the entire buffet with me going over every item that was veg or vegan. The item I asked about (vegan bolognese) is no longer served, but that was no problem- they would make it for me!

The taco bar would also make tofu or garden burger tacos on request. Want rigatoni without meatballs?  No problem. Want a vegan pizza? Done. Don't forget about vegan ravioli.  Of course this is all in addition to the clearly marked vegan soup they always have. 

If you are veg in Vegas and want a buffet you really can't go wrong here. The thing that is most impressive here is when I ask ""does this have meat in it?"" The answer is always confident.  If the person behind the line does not know, they will find out for you."	5	The Buffet	3.5
We love this place! !! My husband and I went here for dinner and we will definitely be back.  Food was delicious and customer service was awsome!	5	Rhythm Kitchen	3.5
Excellent food and great waitstaff! This place is always packed and serves breakfast lunch and dinner 24\/7. Jo Anne was great, not very often do you have the manager working this hard and waiting on the customers. The rest of the staff were all very friendly and working non-stop	5	The Peppermill Restaurant & Fireside Lounge	4
Excellent steak! The waygu steak was amazing, the waitstaff is efficient and fast to take care of your every need.	5	Tom Colicchio's Craftsteak	4
I have ordered food to go from this place a few times.  At first it was very good.  The chicken adobo has always been good.  The kare kare was good the first time but then they started replacing the oxtails with other types of beef and the kare kare was not nearly as good.  Other times they simply ran out of the oxtails and didn't offer the kare kare.  The inconsistency results in my 3 star review.	3	Cutting Board Filipino Gastropub	4
My boyfriend and I was going off Yelp reviews and decided to check out Guy Fieri's Vegas Kitchen and Bar. It was all so good. We especially loved the mac cheeseburger!!!	5	Guy Fieri's Vegas Kitchen & Bar	3.5
Wanted to try the new buffalo chicken sandwich . I waited about 8 minutes in the drive through to get it. And when i did the bottom bun was full of sauce and all soggy there was WAY to much sauce on it , plus it was really cold sauce. When i bit into it. The sandwich was extremely hot. And the chicken seemed hard. So basically it was a combination of cold because of the sauce and hot because the chicken was hot . I threw it away after 1 bite. Never going to that location again	1	Arby's Roast Beef Sandwich Restaurants	2.5
I come here often with my family so this review is long overdue. The frijoles staff is always friendly and the food never disappoints. I usually order the mini tacos, shrimp cocktail or nachos.  Green and red salas are at each table and you can't leave without  trying an Agua Fresca.  The food is made to order and although a bit pricier than your typical Robertos or other taco shop...you get what you pay for in quality.  We will continue to visit this restaurant :-)	5	Frijoles & Frescas Grilled Tacos	4
Ate here today with my family. The staff was very friendly, restaurant was clean and food was great. I ordered a salad with shredded pork and the spicy cheese sause was yum!  My husband ordered a burrito and was also very happy. We will return.	5	QDOBA Mexican Eats	3
Best combination rice ever!! I always order it when I eat here and that's what keeps me coming back	5	China Gourmet	4
Another awesome meal!!  My husband and I love this place. The Mulitas are a must try :-). Everything's fresh and authentic. Just Come prepared to pay cash. No Debit or CC accepted. Prices are cheaper than Robertos.	5	Tacos El Compita	4
"My friends are super fans of Taco Bell, so they were super excited to visit Taco Bell Cantina. What's so special about the Taco Bell Cantina? Well, for one thing, they are open 24 hours a day. They also serve alcohol, which is a plus since Taco Bell is already drunk food.

Other than the chance to get a beer or alcoholic twisted freeze, the menu is the same as any other Taco Bell. But I do like that they display your name on a screen when your order is ready to be picked up."	3	Taco Bell Cantina	3.5
This place is the BEST.. Great food n great service.. Can't ask for anything else..sarah the host is awesome.. Shes always friendly n fulfills all my requests.  Whenever we visit Serranos we asks for Cristela as our server.. Cristela is friendly n on top of things. She's very knowledgeable on the menu n always recommends what to order.. I have never been disappointed with anything she has recommended. This is one of our goto places everytime we visit Vegas n will never stop going.	5	Julian Serrano Tapas	4
"My friends and I stopped by to watch the game on a Sunday. We did not expect that Wing King would be a stall inside of the bar, Shooters, but it all turned out well. The bar is a dive, but Wing King has a few tables off to side by their window.

We ordered 14 lbs of wings, since their sign said that there would be about 7 wings per pound, but the staff informed us that a large order had just come in and they may run out of wings. They offered to substitute some of our wings with tenders. We told them that was fine and we ended up getting what must have been closer to 20 lbs of wings and tenders! (see all my pictures, that's everything we got). 

I prefer dry rubs and wings to sauces and tenders, but overall, I was pleased. We got 8 different flavors, but the extra hot and the spicy garlic Parmesan were my favorite by far. The service was friendly, and probably gave us extra food to make up for having to mix wings and tenders"	4	Wing King	4
"My friends and I came here for dinner at the recommendation of the bachelor's girlfriend, mostly for their truffle cream sauce. It's a nice restaurant, with modern decor and very hip looking staff. We were seated very quickly and they brought us water and a complimentary bread basket.

Our waiter told us the specials as he took our drink orders. I opted for their rigatoni in black truffle cream sauce special. It was good, but way overpriced at $44. Black truffle is a pricey ingredient, but they could have added some meat or rigatoni to it. This was a pretty small (but filling) dish.

It was a good meal, but not one I'd go out of the way for."	3	Fiamma Italian Kitchen	4
"I've been here many times and every time Ive eaten here i forget about it. Which tells me one thing.. it wasn't memorable. Anyways I've never done a review for this place so here it is..

We were greeted n seated right away.. But the place was empty so.. We ordered chicken noodle,  upon, salt n pepper calamari, and lettuce wraps.. Everything was goood.. Nothing special.. Just plain decent. The only thing I would say I didn't like is the calamari, not salt n peppery at all and the batter was greasy and doughy. My chicken noodle soup was ok.. Wasn't bad. But the service was great... Again I'm sure it was due to being empty.  I'm not sure if I'd come back.. Maybe is someone wanted it bad n treated me to dinner;)  other than that I would not crave this place at all."	3	Dragon Noodle Co.	3
"One of the few places on the strip that is still a great deal. 

With the days of $7 mini-waters and $25 basic burgers Las Vegas on the strip is freaking pricey. The good news is that there are still some great value for money experiences like the Wicked Spoon. 

My experience was weird in that while standing in line a woman behind me passed out. The staff handled this super well and discreetly (minimizing what was clearly super embarrassing for her) and had a staff doctor checking her out in minutes. The good news is she had clearly been partying a bit hard and was dehydrated and low on sugar and they had her fixed up quickly. 

Anyway back to the review. My waitress was amazing. She remembered my name and was super attentive without being intrusive. I didn't drink any alcohol at this meal so she kept the tomato juices coming. 

Food was pretty good. I started with breakfast where my egg was clearly free range (super bright and firm) and perfectly cooked. I then had some smoked salmon with capers, tomato and onions. I then followed this up with an amazing fruit bowl and yogurt which was very very good. It tasted home made and was really nice. 

The sushi was ok. It wasn't bad it just wasn't super amazing like in a high end sushi place. Still for $35 you really can't complain!  

All in all there was much more food than anyone could eat. Great selection and somewhere I think I would visit again!

Like I said for $35 it's actually a great deal. I felt I got much more value than what i paid and would recommend. 

Best bit is it's not far from the tables like some of the other places so you are not wasting a bunch of time trying to find the place instead of gaming."	5	Wicked Spoon	3.5
"I been a fan of Chef Stacey since her catering days.

EVERYTHING she makes is wonderful and will have you craving for more. The nachos are outstanding, even so that I can get two meat-loving preteens to beg me to take them back for more.

I've always been weary of kale chips until I tried hers. Crazy seasoning and a depth of flavors made we want them over my usual seaweed\/nori snacks. 

If you want food that looks good, tastes good and IS GOOD FOR YOU, this is the spot."	5	Simply Pure by Chef Stacey Dougan	4.5
BEST JAPANESE FUSION I'VE EATEN....EVER!!!! With my husband being Japanese, he has very high standard for Japanese food. We absolutely LOVED this place! We ordered 5 different things from the main dinner menu and it was all AMAZING! The chocolate banana cake for dessert is to die for! So in love with this place. I can't wait to visit Vegas again just to eat there!	5	SUSHISAMBA - Las Vegas	4
This has to be one of the worst burgers I've ever had.. Not just that the service sucked.. We arrived n they advised us it was 20 min wait.. So they asked for our cell # and said they would text  us when ready.. Well 20 mins later no text.. We go check n she says it's ready.. Where was the text?  Anyways we sit down n we don't get waited for a while..a table behind us who got sat after us gets served first. I ordered the drive thru burger which is a two patty burger w cheese lettuce tomatoes n onions. We also ordered fries n onion rings.. When I got my burger the bun was not soft at all. Was dry n on the harder side.. The meat patties were dry.. How can you screw up a burger.. So the burgers were not a hit so I relied on the fries n onion rings to appease my appetite.. Well wrong.. The fries were each one inch long n seemed like they were left over bits from the bottom of the fry basket.. Horrible.. The onion rings were very greasy. This place is a no go.. Pls stay away.. I rather goto McDonald's  n I'm not exaggerating.. Just horrible.	1	B&B Burger & Beer	3
Came to Vegas for a weekend trip. We are here in Vegas about once a month and always stay at Aria because of the awesome treatment we receive as platinum mlife members. Hearing about how good Herringbone is and looking at the pictures, we wanted try it out. We have tried almost every restaurant in Aria and love them all. Also Raos in Caesars Palace. We walked to Herringbone on a Sat at 1230pm for lunch\/brunch. We walked up to the host and I told them party of 3..She looked at my daughter n immediately told me its 21 and over only. I said ok then..and walked over to Bardot for brunch. The host did not give us any explanation on why, but for a restaurant at 1230 pm, in the afternoon, for brunch, to be for 21 and over only...what is that all about??? Never heard of such a thing. It's not we were going there at 10pm where I know some restaurants turn into a night club or some sort..but at 1230 pm in the afternoon??? Really Herringbone..Well..it's no loss for me, there are plenty of other restaurants I can choose from in Aria.. Herringbone...you guys might want to rethink your policy since a lot of families that visit Vegas have kids and you are losing a lot of valuable customers. Anyways you have lost one valuable customer here..I won't be visiting your establishment again.	1	Herringbone	4
This place is not worth it at all.. I got the burgers here and they r so tiny i could eat ten of them..they remind me of mcdonalds cheeseburger.. And what gets me is that there is always a line? you kidding me? I much much rather have in n out burger. Better yet try Burgr or Holsteins. I give it 2 starts because even though the food sucked, the employees were nice	2	Shake Shack	4
We came here for brunch and all I have to say is.... YUM! The pastries r to die for... So Ooooo gooood.. And the hunters waffle was awesome.. The staff was friendly n attentive.. I definitely will be coming back.	5	BARDOT Brasserie	4.5
"I might give this place a 3 1\/2 stars. This place opened up a week ago and i just had to try it because it is at monte carlo where i usually stay at.  Let me first off by saying the service itself was very good since one of the main guy Cory came to our table asking us how everything was and making sure we were happy. He even gave us a complimentary shashito pepper app which was very good..Thks Cory..ok now for the rest..

We ordered housemade pickles, pork shoulder bun, steak with nori, chicken wings, shrimp ramen, and mushroom ramen.. 

The house made pickles were actually good..fresh and tangy and refreshing. But for $9 not worth it. One of the server also came and picked up the dish without asking us if we were done with the pickles and took it away when we had one pickle still left in the dish. for $9 im going to eat all the pickles but was unable to since the server took it off our table.

The chicken wings had a good taste to them and i enjoyed it for the most part.. I would like the chicken wings more well done and crispier than how it was served . but overall not bad. $9...same price as the pickles which makes no sense.

The pork shoulder bun was good..very good flavor..but the bun was cold. Im sure sitting outside played a role in the bun being cold . but i kinda expected a hot soft steaming bun. But maybe thats how its suppose to be served..not hot. The bun was $9..FOR ONE! cmon..i surely thought it was served with two..but they did warn us it was just one. 

Steak Nori was very very good..good flavors and the meat was tender and the nori was dry and crispy..how it should be..the mushrooms on top had a very nice flavor..but for $39 not worth it at all..

The shrimp ramen was good for the most part..the only thing was the broth..it tasted very shell fishy..the noodles were cooked good and the shrimp was awesome..but the broth taste was a little off. The ramen was served in a tiny bowl which seemed like a large drinking cup..$22 not worth it at all.

The mushroom ramen was good i enjoyed it..no complaints there at all..the mushrooms were good, the tofu had good flavor, nooodles were cooked al dente which i like. the broth had good flavor and i love soft boiled eggs and it had an egg in it which had a soft yoke. Again served in a tiny bowl ..not worth $17.

Finally the shasito peppers..only complaint is ..wish it was cooked lil bit more..but thats just how I like them but this one was free so it was the best!!

Ok...overall not bad..flavors were there but the food could be better..Cory kept asking how we liked it..and we told him it was good..i really didnt complain to him because my MAIN problem was the price and portion size which he cant really do anything about. Would i go back to Yusho?....maybe if someone treated me..but i would not go there again with those prices..the prices were ridiculously high for the portion size and the quality. 

Cory..lower the prices and give us bigger portions..then maybe il return..anyways thks for the experience:)


Update: 11-29-14 visit..

I revisted this place because i was inthe mood for some ramen..I figured its been a while so they mustve improved in some of the negatives i mentioned  above. Well it didnt.. the portions r still small(ramen). The only thing they did was serve the ramen in a bigger bowl making it seem like the portions are bigger. I got the kimchi ramen and the broth was sooo plain..needed spices or seasoning or something. Anyways i wont be coming back to this place unless im forced to, too drunk and dont know any better, or because im starving and thats the only place open."	2	Yusho	3
This place is just awesome.. Great pizzas n great salads.. I did a custom pizza n i love the crust.. Very light n crispy n the specialty salad they had for  a limited time was just pure heaven.. Unfortunately it's only for limited time.. But I will definitely be going back and back and back to this place	5	Five50 Pizza Bar	4
Il make this review short and sweet..awesome food.. been here few times and every time we have received top notch service. But the winner here is the food. From the simple taquitos to the chile colorado..perfectly seasoned, well cooked, and decent size portions for the price..i enjoyed it very much and i will definitely be back..its a must try if you are in mood for some mex food in vegas!!	5	Javier's	4
"Ok it's more like 2.5 stars.. Il make this review quick n straight to the point..the food is good.. I ordered the pad tai,  pad see wu,  Isaan sausage,  stuffed chicken wings n hot n sour soup.. Liked everything especially the stuffed chicken but not worth the wait and my biggest downer.... The portion size! . I know plenty of Thai restaurants w same quality food w way bigger portions.. I get the food is good but give us more!

One more thing.. One of there desserts was the mango w sticky rice. When i tried to order it they said mangos were not in season... Uh I just bought mangos at the market n had mangos at a restaurant in aria.. So how can it be out of season.?"	3	Lotus of Siam	4
"Ok what can i say about Rao's...WOW!!!!! this place is amazing!!! we ordered the gnocchi with meat sauce, lasagna, fusili with sasauge and cabbage, meatballs, and grilled veggies. First the gnocchi, im a gnocchi lover and ive tried gnocchi pretty much everywhere and these were up there with the best..the sauce is just spot on. The lasagna is to die for..the layers and goodness and the sauce and cheese..wow. the fusili with sausage was awesome also..full of flavor and just yummy in my mouth. All these great food for a great price..we got all the above entrees plus a salad, soup and an ice tea all for under $180..plus the portion size is well above normal. We left the restaurant with full stomachs unable to eat dessert which is unheard of for us..anyways im definitely coming back for sure. 

The only thing i was gripe about is the info shows casual attire..well casual to me is just that casual..i went with jeans and nice shirt and shoes and my hat..they asked me to take off my hat at the dinner table which i dont mind doing ..but dont say its casual attire then. i say it should have a classy title than casual"	5	Rao's	3.5
Came here w the work crew.. They told me it was goood.. Got here and we had to wait a few minutes for our table to be ready for our large party. Once it was ready they took out drink orders right  away. As for food. I ordered the cesar chicken wrap.. Big mistake!  It was plain n boring.. Just a tortilla w lettuce n chicken piece w fries on the side.. Everyone ordered something else n looked goood. My friend had the  chicken curry pot pie n it tasted good.. I'm getting that next time.. Other than my order the food being plain the service n everything else was good. Our server was on top of our drink orders n brought us whatever we needed. Thks guys.. I will be back	4	McMullan's Irish Pub	4
Cmon aria. What's going on here.. What happened to your portion size.. Why can't you stay consistent. First I wanted the corn beef hash n you guys are out of the only thing I was craving.. So I got the chicken n waffles which I get all the time.. Before it was a big piece of chicken breast n then you guys switched to chicken strips n back to the breast which I don't mind.. But give us a good size chicken breast instead of a tiny piece I can eat in 5 bites.. After finishing the chicken w each bite of waffle I still have 1 waffle left over.. I mean the chicken was tiny. I come to aria cafe all the time.. My daughter loves it n so do I.. But be consistent please.. I advised my server n his excuse was it looks smaller because it's on a oval plate instead of round. No.. Its small because it's small.	2	ARIA Café	2.5
Ok i had a chance to go back to Toms Urban to try it out again..Compliments of Doug Winter..I want to thk you Doug for getting back to me and giving me another chance to try out Toms..Im glad you did nad im glad i went back..I never had a problem with the food..the food was awesome...gotta try the sin city burger and the wings or one of the best wings i have ever tasted. Anyways this review is not about the food, we already know the food is good. Its about the service and overall experience. I want to say the service was top notch..Veronica, our server, was on top of it and brought was everything we needed. She came by our table asking if we needed anything and didnt ignore us. Doug Winter..thk you again and i will definitely be coming back to Toms again.	5	Tom's Urban	3.5
Im a huge fan of Gordon Ramsay..When i heard about this place i knew i had to try it..Well i did and I LOVE it..from the burgers to the fries and onion rings. I loved the curry ketchup. The burgers are your high end burgers..so its not cheap but well worth it. If you are a big burger fan you have to try this place whenever you are in vegas.	5	Gordon Ramsay BurGR	4
We were invited back to try Cucina again and this is an update on my past review. First off,  the service was top notch and of course the food was awesome. Dave, who waited on us, was attentive and made our dining experience awesome.. We ordered the pork steak, linguine w clams, chicken, sausage pizza, and cured beef with cheese. We cleaned up the plates and did not leave any food left on the plates..The food was good the first time and even better the second time. But more importantly we were treated like VIPS and i just want to thank Evan and his staff for making that happen..thks Evan. We will definitely be returning soon.	5	Cucina by Wolfgang Puck	4
"I don't know why I came here again.. Came here before n it was just of.. It's a buffet so how good can it be.. We ended up waiting almost 2 hrs during lunch. So don't come during busy hrs cuz you will end up waiting. 

Most of the food was dry n left under the heat lamp for a while. N there were alot of food that wasn't replenished. I'm not going to go through everything I ate cuz it'll be a long list. But it wasn't worth the wait n price. Save your money n goto a nice restaurant. No buffets!"	2	Wicked Spoon	3.5
"I know I can't expect too much from a buffet but this buffet was not good.. The food seemed like it was left out too long n tasted old.. I'm not going to go into each things I ate but even the desserts didn't taste good. They also use tiny cups for water so they have to keep on  refilling them... Let me give u a tip.. Use bigger taller glasses it will help w refilling often. 

If u want a good buffet goto bellagio or cosmo.. Those r my 2 fav"	2	The Buffet at ARIA	3
I made reservation and came here on a Sat night.. I assumed it would be busier but it wasn't. We were seated almost immediately. They sat us at a table right next to the lobster tank which was kind of cool. My daughter loved it. The atmosphere was chill n clean. The service was great.. We ended up ordering Naan bread, salad, fisherman's stew, n gnocchi. Everything was great.. No complaints regarding taste.. If anything I would say to portion size is on the smaller side. The fisherman's stew had a good taste to it.. The broth was on point along w all the seafood. The gnocchi was great also.. Not your typical gnocchi. But tasted like the outer was cooked longer like it was fried. But very good. Anyways I would return and try something else. But guys.. Pls make your portions larger for the price u charge.. Thk u:)	4	Harvest by Roy Ellamar	4
"I love this place and always received great food and service. We come to Vegas about 15 times a yr to enjoy good food and to maintain our platinum status..Well not so much in my last visit.. Came here with my girlfriend and daughter and ordered our typical dishes. Cesar salad, Minestrone soup, spicy rigatoni, spaghetti with red sauce, and cream spinach. 

We received our bread and complimentary sliced sausages and cauliflower. All of them tasty and awesome. Once we were done with the bread basket I asked our server if we could have more bread.. He said sure and never brought it.. I waited and waited but our other food started coming out..First the salad, and still no bread. After we finished the salad I expected the soup we ordered. Well no soup. I waited and waited and no soup. The next thing they brought out was our dinner plates with new forks and knives. Well then comes our main course. But wait ..whats missing..the cream escarole. I tell the guy, who was in a suit, I imagine hes one of the managers, who brought out the food that we are missing the cream escarole and the bread I asked for 15 minutes ago. He said ok sure il get those out in a minute. Well minute turns into 10 minutes. By this time we are almost done with our pasta without the bread and the escarole. Our main server comes to our table and asks if everything is ok.. I tell him no..first, we didn't get our soup, second, I asked for bread multiple times and still didn't get it, third, I'm missing my cream escarole. 

At this point I was beyond pissed because we couldn't really enjoy our meal without everything we ordered..its one of my pet peeves when restaurants screw up my order. I told our server I wanted to cancel my escarole and no longer wanted it. He told us he forgot to order the soup and the escarole...what?? you forgot..really? For a high end restaurant I expect servers to put in our order right. Not having one dish just ruins everything for me. Anyways...I was not happy thoughout our meal. After all that I still ended up tipping our server..I don't know why but I did. If I go back I will not be going back and having the same server serve us. NEVER AGAIN..thks carbone for a not so great dinner experience."	2	Carbone	4
ok ive been here twice so far and both times ive been very satisfied..both times i got the ox tail chili fries which is a must must try..its sooo good..the first time i made my own burger which was good but i wanted to try one of their specialty burgers..so this time around i tried the Ronin burger which was awesome..the meat is so juicy and tasty and the toppings were spot on..I will definitely be back and back and back!!	5	Bachi Burger	4
"I had a layover at a hotel on the strip last night, and was craving salad, so I to plan uber (about $6) out here for a fantastic dinner. I had the Manager's Special with half a turkey wrap, a bowl of veggie soup, and a trip to the salad bar. At around $10 it's by far the best deal on the menu. 

Service was attentive, and everything on the salad bar was well stocked, even during the busy dinner hour. The next time I'm in Vegas, I'll definitely be back!"	5	Jason's Deli	4
Nice warm ambience, it's very spacious and good for large groups. Oxtail ramen is what we tried. From previous post they have worked on cooking the oxtail longer and it came out very tender. Their broth was lacking flavor and the noodles that came with the oxtail ramen also not your typical ramen noodles, came out a bit over cooked and mushy. House fried rice was ok. Can't go wrong with fried oysters, nice and light panko batter. This place has potential.	3	Ohjah Noodle House	4.5
"I gave them 4 stars because this place is nice and a clean. This place is fairly big and has several tv's. They have a full bar.They are very attentive and the food came out at a decent time. 

On their food I'd give them 3 1\/2 stars. The Mussels Oreganata was very good, not over cooked, the panko crumbs gives it some texture and they give you extra bread to dip in the sauce. My husband and I are more on the savory side when it comes to flavor; my scampi stuffed chicken was a little on the sweet side, It was cooked perfectly and not dry though. My husband got the Al's special pork chops which were very tender and juicy, still more on the sweeter side than we'd prefer. Overall nice place we go again to try other things on the menu."	4	Zest - Bistro & Bar	4.5
Love this place, AYCE sushi, cheaper than a la carte. Rarely ever get disappointed, except for the time they sat us at the table closest to the restroom I think they were having plumbing problems that night, since then they have fixed that problem. The only thing that is not part of then AYCE is the hamachi collar  boo! Have yet to try their ramen after 11pm. Favorites  braised grilled pork belly, atama (fried shrimp head), super white tuna nigiri, salmon skin roll, Cajun albacore, ikura with quail egg, salmon nigiri, and the list goes on!	5	Sushi House Goyemon	3.5
Busy for a Wednesday night at 9pm. Tonight we ordered shrimp, crab, clams, and mussels a pound of each. Normally the shrimp is the first to come out but we ended waiting just about 30 minutes for my husbands shrimp, while everything else was brought to our table in a matter of 10 minutes; due to the fact I seen one of the servers bring our order of shrimp to a different table and when she was told it was the wrong order, instead of asking the other servers if another table ordered it she just brought it back to the kitchen.  Asked a server about it and she said she would check on it. She came back to refill our drinks and again said she would check on it, asked another server about it and our order was finally done. My husband and I are too polite to complain, because at the end are bellies are still satisfied ;)	4	Hot N Juicy Crawfish	4
I give it a 4 because of the consistency  we get when we come here. We always sit at that bar and they have an awesome Happy Hour menu, appetizers for $3 and certain alcohol like Absolut vodka for $3. We get our wings naked extra crispy with sauce on the side and the wings still come out juicy and not dry at all. We stick to mango habanero which is sweet and has heat to it (a little goes a long way!) last night we tried the spicy garlic sauce which has a good combination of sweet and spicy, it almost taste like garlic aioli.	4	Buffalo Wild Wings	2.5
It was OK.  Different selections as far as burgers go, for sure. They were pretty tasty but I've had better.  Pricey.	3	Bachi Burger	4
Meh.  I didn't see what the hoopla is all about.  They say there's a pound of lobster in each roll; not sure what measurement scale they're using.   It was nothing to write home about.	2	Lobster ME	3.5
Used to be much better and was our (my wife and I) go to breakfast restaurant.  Since the new owners have taken over we've tried multiple time to give it a chance.  The friendliness is not there (we miss you Joanne and Esther!).  The service each time since the new owners took over is not the same at all. The food was OK but better when Esther, the owner, was also the head chef.  We miss having the "old" Divine be our go to breakfast restaurant.	2	Divine Eatery	4
Love it!  Coming from AZ, we are so picky  when it comes to Mexican cuisine.  We've  found that the salsa is always an indicator of what is to come and theirs was perfect in texture, flavor, and zip.  That said. their lunch entrees were great and we'll be anxious to return.	5	Mariscos Playa Escondida	4.5
"Went for a business dinner.  The inside is def old school with autographed pics of celebs on the walls, but that adds to the coolness of the place.  There's live entertainment, but it's not loud; just classy.

The waiter was top notch with his service and suggestions for wine and entrees.  The wine was very good that he brought out.  I had veal picatta;  it's hard to find good veal but this was great.  Very tender and flavorful.  The picatta sauce was very good as well.  Had pasta on the side and the red sauce was good.  Not my sauce, but good.  The two gents that I was with enjoyed their meals as well.

The whole experience was very nice and we were not rushed in the least.

I'll be back with my wife (who is Italian)."	4	Italian American Club Restaurant	4.5
"My wife and I love this gem of an Italian restaurant.  We love the ambiance, Silvia, the impeccable waitress, Ozzie, the affable owner and Johnny, the perfect bar host, and, of course the food.  The food is what people come here for and we have never had anything that we did not enjoy very much.  Their seafood dishes are wonderful; full of flavor, not over priced (very reasonable) and a good portion.  Their pasta dishes are great; Veal Parmesan?  Great!  Eggplant Parmesan?  Wonderful!  Appetizers?  Terrific!  Wine list?  Decent as well.  Desserts? MMMMMMMM!

The staff here is personable, attentive, and really care about your experience.  We love to come here and the only reason we don't frequent more often is so that we don't get nonchalant about it.  In fact, we are going to be there tonight and made reservations.  Hope to see you there!"	5	North Beach Italian Bistro	4.5
My husband and I went for dinner last night. Not my first time and definitely not my last! It makes a night out so nice to go somewhere you receive great service and food. As a vegan, it's also nice to have more than a couple choices and Hussong's delivers!! A very enjoyable evening. Thank you Itsel ... you set the bar quite high for other servers!!	5	Hussong's Cantina Boca Park	3.5
"This place caught our eye during our stay in Vegas. We decided to try this place during lunch time so it was pretty empty and quiet. We asked to be seated indoors and it was clean so no complaints there. Our server was very attentive and made sure to answer any questions we had about the menu. She also told us about some of the specials not listed on the menu, all which sounded tasty.

The food was delicious. My burger was cooked exactly as I asked and quite filling. All in all, a solid, well cooked and seasoned burger. The one thing that I really recommend is the garlic and herb fries. They were the stars of the entire meal. Of course, my breath was kicking after, but it was definitely worth it because they were that good. The sweet potato fries were also pretty nom. A word of advice, if you do want a side, split it with a friend, it's a lot for one person.

If you are in the mood for a burger, and not a fast food burger, try this place. It's a hidden gem in the mall."	4	Stripburger	4
Love the food, HATE their service. But it only seems like its at the  sahara and ft. apache location!  The other locations are so nice and friendly, this one questions you when you call to say your order is wrong. I called the other day to say my salad was wrong and the 5 mangers there couldn't answer the phone so I got some smart ass girl to ask me if I was sure I was wrong! I hate that its the only one near work so I have to go to it.	1	Cafe Rio	2.5
Very clean pub, the friendliest crew I've see in a long time !! The best chicken strips and garlic fries !! Must try !!	5	Blue Dogs Pub	3.5
